Let's discuss about the interfaces one by one and finally I'll put it together so that everything will make more sense.,Hãy thảo luận lần lượt về các giao diện và cuối cùng tôi sẽ tổng hợp lại để mọi thứ trở nên có ý nghĩa hơn.
Let's talk about the publisher first.,Trước tiên hãy nói về nhà xuất bản.
This is a simple interface with a single method called subscribe which accepts the subscriber instance by making this call the subscriber registers to the publisher.,Đây là một giao diện đơn giản với một phương thức duy nhất được gọi là đăng ký chấp nhận cá thể thuê bao bằng cách thực hiện cuộc gọi này, thuê bao đăng ký với nhà xuất bản.
Publishers are generally the data producers.,Các nhà xuất bản nói chung là nhà sản xuất dữ liệu.
Basically their data source.,Về cơ bản nguồn dữ liệu của họ.
The examples of publishers or database are any of the remote service or anything external.,Các ví dụ về nhà xuất bản hoặc cơ sở dữ liệu là bất kỳ dịch vụ từ xa nào hoặc bất kỳ thứ gì bên ngoài.
The next one is the subscriber interface which has formats on subscribe on next on error and on complete.,Cái tiếp theo là giao diện người đăng ký có các định dạng về đăng ký vào ngày tiếp theo khi bị lỗi và hoàn chỉnh.
If you recall from the previous video we have already discussed about the on next on complete and on air and let me quickly explain the significance of these methods on next year's nothing but the data stream on complete is the signal for no more data on error even is a signal that some error happened.,Nếu bạn nhớ lại từ video trước, chúng ta đã thảo luận về các phương pháp tiếp theo trên toàn bộ và trực tuyến và hãy để tôi giải thích nhanh ý nghĩa của các phương pháp này đối với không có gì trong năm tới nhưng luồng dữ liệu khi hoàn thành là tín hiệu không có thêm dữ liệu về lỗi là một tín hiệu cho thấy một số lỗi đã xảy ra.
The only new method is the unsubscribe which has the subscription object as an input.,Phương pháp mới duy nhất là hủy đăng ký có đối tượng đăng ký làm đầu vào.
What does the purpose of the unsubscribe method.,Mục đích của phương pháp hủy đăng ký là gì.
You just gotta wait a little more to understand that.,Bạn chỉ cần đợi thêm một chút nữa để hiểu điều đó.
Next we'll talk about the subscription interface.,Tiếp theo chúng ta sẽ nói về giao diện đăng ký.
The subscription interface has to meet its request and cancel.,Giao diện đăng ký phải đáp ứng yêu cầu của nó và hủy bỏ.
Now let's try to put everything together.,Bây giờ chúng ta hãy cố gắng kết hợp mọi thứ lại với nhau.
I have a publisher at the top and a subscriber at the bottom.,Tôi có một nhà xuất bản ở trên cùng và một người đăng ký ở dưới cùng.
He can relate this to up pops up model.,Anh ta có thể liên hệ điều này với mô hình bật lên.
As I mentioned before publisher is the data producer are data editor subscriber is a one which is going to read the data from the publisher.,Như tôi đã đề cập trước đây, nhà xuất bản là nhà sản xuất dữ liệu là người đăng ký biên tập dữ liệu là người sẽ đọc dữ liệu từ nhà xuất bản.
Basically a subscriber is synonymous to consumer.,Về cơ bản, một người đăng ký đồng nghĩa với người tiêu dùng.
OK now let's go through the floor diagram the numbers between the arrow represents the flow of evens it has a total of five types of evens strip.The subscriber is going to invoke the subscribe method of the publisher and as the instance of the subscriber as an input.,Được rồi, bây giờ chúng ta hãy xem qua sơ đồ tầng, các con số giữa mũi tên đại diện cho luồng của các thiên thể mà nó có tổng cộng năm loại dải thiên hà. Người đăng ký sẽ gọi phương thức đăng ký của nhà xuất bản và ví dụ của người đăng ký là một đầu vào.
After that the publisher is going to send a subscription object to the subscriber conforming the subscription is successful.,Sau đó, nhà xuất bản sẽ gửi một đối tượng đăng ký đến người đăng ký để phù hợp với việc đăng ký thành công.
If we are able to recall from the previous slide the subscription has two methods.,Nếu chúng ta có thể nhớ lại từ slide trước, đăng ký có hai phương pháp.
One is the request and cancel.,Một là yêu cầu và hủy bỏ.
Let's talk about the request method for now and we will talk about the council in a bit.,Bây giờ chúng ta hãy nói về phương thức yêu cầu và chúng ta sẽ nói về hội đồng một chút.
By default the request method is going to request for all the data whatever data that you have give it to me.,Theo mặc định, phương thức yêu cầu sẽ yêu cầu tất cả dữ liệu bất kỳ dữ liệu nào mà bạn đã cung cấp cho tôi.
Let's say the publisher is a database and it is going to read in hundred items.,Giả sử nhà xuất bản là một cơ sở dữ liệu và nó sẽ được đọc trong hàng trăm mục.
In that case there will be hundred on next.,Trong trường hợp đó sẽ có hàng trăm trên tiếp theo.
Even with each event representing a row will be sent to the subscriber.,Ngay cả với mỗi sự kiện đại diện cho một hàng sẽ được gửi đến người đăng ký.
Once all the data is sent then we will be receiving on complete even that will be sent to the subscriber.,Khi tất cả dữ liệu được gửi đi thì chúng tôi sẽ nhận được hoàn chỉnh ngay cả khi dữ liệu đó sẽ được gửi đến người đăng ký.
There is an option for the subscriber to provide a number for the publisher asking for a specific number of data.,Có một tùy chọn cho người đăng ký để cung cấp một số cho nhà xuất bản yêu cầu một số lượng dữ liệu cụ thể.
If you take a look at it it takes a parameter and for example let's say out of the hundred matching items.,Nếu bạn nhìn vào nó, nó có một tham số và ví dụ, giả sử trong số hàng trăm mục phù hợp.
You just need two of the items from the publisher.,Bạn chỉ cần hai trong số các mục từ nhà xuất bản.
In that case you'll pass a value as to in the request call and then it is just going to give you two honest even and followed by that you will get the on complete even.,Trong trường hợp đó, bạn sẽ chuyển một giá trị như trong lệnh gọi yêu cầu và sau đó nó sẽ cung cấp cho bạn hai giá trị đồng đều trung thực và tiếp theo là bạn sẽ hoàn thành số đồng đều.
Basically this concept is called back pressure.,Về cơ bản khái niệm này được gọi là áp suất ngược.
The subscriber has a control on how much data it needs from the publisher.,Người đăng ký có quyền kiểm soát lượng dữ liệu cần từ nhà xuất bản.
This is one of the concept which I was highlighting in the prior videos.,Đây là một trong những khái niệm mà tôi đã nhấn mạnh trong các video trước.
So there is a way for the application to talk back to the database.,Vì vậy, có một cách để ứng dụng nói chuyện trở lại với cơ sở dữ liệu.
In our example here and requesting for the amount of data that it needs for processing.,Trong ví dụ của chúng tôi ở đây và yêu cầu số lượng dữ liệu mà nó cần để xử lý.
Don't worry about how to do that in the code we'll be covering all those scenarios in the future.,Đừng lo lắng về cách thực hiện điều đó trong mã, chúng tôi sẽ đề cập đến tất cả các tình huống đó trong tương lai.
But of course if there is any error in this whole workflow then we will be receiving an on error even Next we we'll talk about the cancel method and the subscription interface.,Nhưng tất nhiên nếu có bất kỳ lỗi nào trong toàn bộ quy trình này thì chúng tôi sẽ nhận được lỗi ngay cả Tiếp theo, chúng tôi sẽ nói về phương pháp hủy và giao diện đăng ký.
The subscriber has the option to call the cancel limited and the subscription that is received from the publisher.,Người đăng ký có tùy chọn gọi giới hạn hủy và đăng ký nhận được từ nhà xuất bản.
The publisher a subscription rate it estimate that's 1 is a request method.,Tỷ lệ đăng ký mà nhà xuất bản ước tính đó là 1 là một phương thức yêu cầu.
That's what we have seen in the slide just before.,Đó là những gì chúng ta đã thấy trong slide ngay trước đây.
This one is a cancel method.,Đây là một phương pháp hủy bỏ.
What happens after we call the cancel method.,Điều gì xảy ra sau khi chúng tôi gọi phương thức hủy bỏ.
Basically what this means is we are canceling the subscription and the publisher is not going to publish any even to the subscriber.,Về cơ bản, điều này có nghĩa là chúng tôi đang hủy đăng ký và nhà xuất bản sẽ không xuất bản bất kỳ ngay cả cho người đăng ký.
Next we'll talk about the processor interface.,Tiếp theo chúng ta sẽ nói về giao diện bộ xử lý.
This interface is nothing but the combination of both the subscriber and publisher interface.,Giao diện này không có gì khác ngoài sự kết hợp của cả giao diện người đăng ký và nhà xuất bản.
That's why you do not see any specific methods for this one.,Đó là lý do tại sao bạn không thấy bất kỳ phương pháp cụ thể nào cho cái này.
I'm going to save the significance of this intro for use for the future part of the course.,Tôi sẽ lưu ý nghĩa của phần giới thiệu này để sử dụng cho phần sau của khóa học.
If we are still struggling to get your head around this concept just wait until we start recording part and start writing some examples.,Nếu chúng tôi vẫn đang loay hoay tìm hiểu khái niệm này, chỉ cần đợi cho đến khi chúng tôi bắt đầu ghi phần và bắt đầu viết một số ví dụ.
Then you come back to this video and watch it.,Sau đó, bạn quay lại video này và xem nó.
It will make more sense then.,Nó sẽ có ý nghĩa hơn sau đó.
So whatever we have seen until now is just a contract meaning they are just interfaces and just method declarations that are part of the reactive stream specification.,Vì vậy, bất cứ điều gì chúng ta đã thấy cho đến bây giờ chỉ là một hợp đồng có nghĩa là chúng chỉ là giao diện và chỉ là các khai báo phương thức là một phần của đặc tả luồng phản ứng.
We did not see the implementation of these interfaces.,Chúng tôi không thấy việc triển khai các giao diện này.
So in the next video we will talk about the reactive libraries which are the implementation of these four interfaces.,Vì vậy, trong video tiếp theo, chúng tôi sẽ nói về các thư viện phản ứng là việc triển khai bốn giao diện này.
Before we wind up I would like to show you where to find this reactive stream specification in the Internet.,Trước khi kết thúc, tôi muốn chỉ cho bạn nơi tìm thông số kỹ thuật luồng phản ứng này trên Internet.
Let's go to Google and then in here I'm gonna search for reactor stream specification and then I'm gonna look on does it get to blink when I open it and the new top so does get up is the base for this reactor stream specification if you go a little bit down and read me.,Hãy truy cập Google và sau đó tại đây tôi sẽ tìm kiếm thông số kỹ thuật của dòng lò phản ứng và sau đó tôi sẽ xem nó có nhấp nháy không khi tôi mở nó và phần trên cùng mới xuất hiện là cơ sở cho thông số kỹ thuật của dòng lò phản ứng này nếu bạn đi xuống một chút và đọc tôi.
There you go you see the reactor's stream specification consists of the following parts.,Ở đó, bạn sẽ thấy đặc điểm kỹ thuật dòng của lò phản ứng bao gồm các phần sau.
One is the FBI the EPA is the one which we discussed just no.,Một là FBI, EPA là một trong những mà chúng tôi đã thảo luận về không.
Those are the four interfaces and the next one is their technology compatibility kit.,Đó là bốn giao diện và giao diện tiếp theo là bộ công nghệ tương thích của chúng.
Basically this is for the reactor library creators.,Về cơ bản, điều này dành cho những người tạo thư viện lò phản ứng.
The system makes sure the library whatever that you are writing is going to make sure it is going to follow all the rules that are part of the reactor stream specification.,Hệ thống đảm bảo thư viện bất cứ điều gì bạn đang viết sẽ đảm bảo rằng nó sẽ tuân theo tất cả các quy tắc là một phần của đặc tả dòng lò phản ứng.
But this became for the end of the story.,Nhưng điều này đã trở thành phần cuối của câu chuyện.
Thank you for watching.,Cảm ơn vì đã xem.
Hi everyone.,Chào mọi người.
Welcome back to this tutorial.,Chào mừng trở lại hướng dẫn này.
In this material we'll talk about reactor stream's specification.,Trong tài liệu này, chúng ta sẽ nói về đặc điểm kỹ thuật của dòng lò phản ứng.
What is a reactor stream in the first place.,Dòng lò phản ứng ở vị trí đầu tiên là gì.
In the previous tutorial we talked about a data flowing as an event driven stream meaning requesting for data and the data flowing to the application as an event driven stream which is otherwise called US reactor stream.,Trong hướng dẫn trước, chúng ta đã nói về một luồng dữ liệu dưới dạng luồng hướng sự kiện có nghĩa là yêu cầu dữ liệu và dữ liệu chuyển đến ứng dụng dưới dạng luồng hướng sự kiện mà còn được gọi là luồng lò phản ứng Hoa Kỳ.
So now we know what is the reactor stream.,Vì vậy, bây giờ chúng ta biết dòng lò phản ứng là gì.
What is a reactor stream specification a reactive stream specification is nothing but the specification are rules for a reactor stream to follow.,Thông số kỹ thuật của dòng lò phản ứng là gì, đặc điểm kỹ thuật của dòng phản ứng không là gì ngoài đặc điểm kỹ thuật là các quy tắc để một dòng lò phản ứng tuân theo.
If you think about object oriented programming we have principles such as inheritance encapsulation polymorphism and abstraction whatever code that we write in object oriented programming should relate to these concepts.,Nếu bạn nghĩ về lập trình hướng đối tượng, chúng ta có các nguyên tắc như đa hình đóng gói kế thừa và trừu tượng hóa bất kỳ mã nào chúng ta viết trong lập trình hướng đối tượng đều liên quan đến những khái niệm này.
Likewise this specification has rules on how the reactive programming code that we write should follow.,Tương tự như vậy, đặc tả này có các quy tắc về cách mã lập trình phản ứng mà chúng ta viết phải tuân theo.
Who created this specification.,Ai đã tạo ra đặc điểm kỹ thuật này.
Engineers from major companies like pivotal Netflix light bend and Twitter and draw got together and created the reactive stream specification.,Các kỹ sư từ các công ty lớn như xoay chiều ánh sáng Netflix và Twitter và vẽ đã cùng nhau tạo ra đặc tả luồng phản ứng.
So what does the reactor's stream's specification have the specification is very simple and it has four interfaces which are named as publisher subscriber subscription and processor.,Vì vậy, đặc điểm kỹ thuật của luồng của lò phản ứng có đặc điểm kỹ thuật rất đơn giản và nó có bốn giao diện được đặt tên là bộ xử lý và thuê bao đăng ký của nhà xuất bản.
All of these interfaces talk to each other in order for the whole reactor stream to flow.,Tất cả các giao diện này nói chuyện với nhau để cho toàn bộ dòng lò phản ứng chảy.
Let's discuss about the interfaces one by one and finally I'll put it together so that everything will make more sense.,Hãy thảo luận lần lượt về các giao diện và cuối cùng tôi sẽ tổng hợp lại để mọi thứ trở nên có ý nghĩa hơn.
Let's talk about the publisher first.,Trước tiên hãy nói về nhà xuất bản.
This is a simple interface with a single method called subscribe which accepts the subscriber instance by making this call the subscriber registers to the publisher.,Đây là một giao diện đơn giản với một phương thức duy nhất được gọi là đăng ký chấp nhận cá thể thuê bao bằng cách thực hiện cuộc gọi này, thuê bao đăng ký với nhà xuất bản.
Publishers are generally the data producers.,Các nhà xuất bản nói chung là nhà sản xuất dữ liệu.
Basically their data source.,Về cơ bản nguồn dữ liệu của họ.
The examples of publishers or database are any of the remote service or anything external.,Các ví dụ về nhà xuất bản hoặc cơ sở dữ liệu là bất kỳ dịch vụ từ xa nào hoặc bất kỳ thứ gì bên ngoài.
The next one is the subscriber interface which has formats on subscribe on next on error and on complete.,Cái tiếp theo là giao diện người đăng ký có các định dạng về đăng ký vào ngày tiếp theo khi bị lỗi và hoàn chỉnh.
If you recall from the previous video we have already discussed about the on next on complete and on air and let me quickly explain the significance of these methods on next year's nothing but the data stream on complete is the signal for no more data on error even is a signal that some error happened.,Nếu bạn nhớ lại từ video trước, chúng ta đã thảo luận về các phương pháp tiếp theo trên toàn bộ và trực tuyến và hãy để tôi giải thích nhanh ý nghĩa của các phương pháp này đối với không có gì trong năm tới nhưng luồng dữ liệu khi hoàn thành là tín hiệu không có thêm dữ liệu về lỗi là một tín hiệu cho thấy một số lỗi đã xảy ra.
The only new method is the unsubscribe which has the subscription object as an input.,Phương pháp mới duy nhất là hủy đăng ký có đối tượng đăng ký làm đầu vào.
What does the purpose of the unsubscribe method.,Mục đích của phương pháp hủy đăng ký là gì.
You just gotta wait a little more to understand that.,Bạn chỉ cần đợi thêm một chút nữa để hiểu điều đó.
Next we'll talk about the subscription interface.,Tiếp theo chúng ta sẽ nói về giao diện đăng ký.
The subscription interface has to meet its request and cancel.,Giao diện đăng ký phải đáp ứng yêu cầu của nó và hủy bỏ.
Now let's try to put everything together.,Bây giờ chúng ta hãy cố gắng kết hợp mọi thứ lại với nhau.
I have a publisher at the top and a subscriber at the bottom.,Tôi có một nhà xuất bản ở trên cùng và một người đăng ký ở dưới cùng.
He can relate this to up pops up model.,Anh ta có thể liên hệ điều này với mô hình bật lên.
As I mentioned before publisher is the data producer are data editor subscriber is a one which is going to read the data from the publisher.,Như tôi đã đề cập trước đây, nhà xuất bản là nhà sản xuất dữ liệu là người đăng ký biên tập dữ liệu là người sẽ đọc dữ liệu từ nhà xuất bản.
Basically a subscriber is synonymous to consumer.,Về cơ bản, một người đăng ký đồng nghĩa với người tiêu dùng.
OK now let's go through the floor diagram the numbers between the arrow represents the flow of evens it has a total of five types of evens strip.,Được rồi, bây giờ chúng ta hãy xem qua sơ đồ tầng, các con số giữa mũi tên đại diện cho dòng chảy của các tầng mà nó có tổng cộng năm loại dải tầng.
The subscriber is going to invoke the subscribe method of the publisher and as the instance of the subscriber as an input.,Người đăng ký sẽ gọi phương thức đăng ký của nhà xuất bản và là trường hợp của người đăng ký làm đầu vào.
After that the publisher is going to send a subscription object to the subscriber conforming the subscription is successful.,Sau đó, nhà xuất bản sẽ gửi một đối tượng đăng ký đến người đăng ký để phù hợp với việc đăng ký thành công.
If we are able to recall from the previous slide the subscription has two methods.,Nếu chúng ta có thể nhớ lại từ slide trước, đăng ký có hai phương pháp.
One is the request and cancel.,Một là yêu cầu và hủy bỏ.
Let's talk about the request method for now and we will talk about the council in a bit.,Bây giờ chúng ta hãy nói về phương thức yêu cầu và chúng ta sẽ nói về hội đồng một chút.
By default the request method is going to request for all the data whatever data that you have give it to me.,Theo mặc định, phương thức yêu cầu sẽ yêu cầu tất cả dữ liệu bất kỳ dữ liệu nào mà bạn đã cung cấp cho tôi.
Let's say the publisher is a database and it is going to read in hundred items.,Giả sử nhà xuất bản là một cơ sở dữ liệu và nó sẽ được đọc trong hàng trăm mục.
In that case there will be hundred on next.,Trong trường hợp đó sẽ có hàng trăm trên tiếp theo.
Even with each event representing a row will be sent to the subscriber.,Ngay cả với mỗi sự kiện đại diện cho một hàng sẽ được gửi đến người đăng ký.
Once all the data is sent then we will be receiving on complete even that will be sent to the subscriber.,Khi tất cả dữ liệu được gửi đi thì chúng tôi sẽ nhận được hoàn chỉnh ngay cả khi dữ liệu đó sẽ được gửi đến người đăng ký.
There is an option for the subscriber to provide a number for the publisher asking for a specific number of data.,Có một tùy chọn cho người đăng ký để cung cấp một số cho nhà xuất bản yêu cầu một số lượng dữ liệu cụ thể.
If you take a look at it it takes a parameter and for example let's say out of the hundred matching items.,Nếu bạn nhìn vào nó, nó có một tham số và ví dụ, giả sử trong số hàng trăm mục phù hợp.
You just need two of the items from the publisher.,Bạn chỉ cần hai trong số các mục từ nhà xuất bản.
In that case you'll pass a value as to in the request call and then it is just going to give you two honest even and followed by that you will get the on complete even.,Trong trường hợp đó, bạn sẽ chuyển một giá trị như trong lệnh gọi yêu cầu và sau đó nó sẽ cung cấp cho bạn hai giá trị đồng đều trung thực và tiếp theo là bạn sẽ hoàn thành số đồng đều.
Basically this concept is called back pressure.,Về cơ bản khái niệm này được gọi là áp suất ngược.
The subscriber has a control on how much data it needs from the publisher.,Người đăng ký có quyền kiểm soát lượng dữ liệu cần từ nhà xuất bản.
This is one of the concept which I was highlighting in the prior videos.,Đây là một trong những khái niệm mà tôi đã nhấn mạnh trong các video trước.
So there is a way for the application to talk back to the database.,Vì vậy, có một cách để ứng dụng nói chuyện trở lại với cơ sở dữ liệu.
In our example here and requesting for the amount of data that it needs for processing.,Trong ví dụ của chúng tôi ở đây và yêu cầu số lượng dữ liệu mà nó cần để xử lý.
Don't worry about how to do that in the code we'll be covering all those scenarios in the future.,Đừng lo lắng về cách thực hiện điều đó trong mã, chúng tôi sẽ đề cập đến tất cả các tình huống đó trong tương lai.
But of course if there is any error in this whole workflow then we will be receiving an on error even Next we we'll talk about the cancel method and the subscription interface.,Nhưng tất nhiên nếu có bất kỳ lỗi nào trong toàn bộ quy trình này thì chúng tôi sẽ nhận được lỗi ngay cả Tiếp theo, chúng tôi sẽ nói về phương pháp hủy và giao diện đăng ký.
The subscriber has the option to call the cancel limited and the subscription that is received from the publisher.,Người đăng ký có tùy chọn gọi giới hạn hủy và đăng ký nhận được từ nhà xuất bản.
The publisher a subscription rate it estimate that's 1 is a request method.,Tỷ lệ đăng ký mà nhà xuất bản ước tính đó là 1 là một phương thức yêu cầu.
That's what we have seen in the slide just before.,Đó là những gì chúng ta đã thấy trong slide ngay trước đây.
This one is a cancel method.,Đây là một phương pháp hủy bỏ.
What happens after we call the cancel method.,Điều gì xảy ra sau khi chúng tôi gọi phương thức hủy bỏ.
Basically what this means is we are canceling the subscription and the publisher is not going to publish any even to the subscriber.,Về cơ bản, điều này có nghĩa là chúng tôi đang hủy đăng ký và nhà xuất bản sẽ không xuất bản bất kỳ ngay cả cho người đăng ký.
Next we'll talk about the processor interface.,Tiếp theo chúng ta sẽ nói về giao diện bộ xử lý.
This interface is nothing but the combination of both the subscriber and publisher interface.,Giao diện này không có gì khác ngoài sự kết hợp của cả giao diện người đăng ký và nhà xuất bản.
That's why you do not see any specific methods for this one.,Đó là lý do tại sao bạn không thấy bất kỳ phương pháp cụ thể nào cho cái này.
I'm going to save the significance of this intro for use for the future part of the course.,Tôi sẽ lưu ý nghĩa của phần giới thiệu này để sử dụng cho phần sau của khóa học.
If we are still struggling to get your head around this concept just wait until we start recording part and start writing some examples.,Nếu chúng tôi vẫn đang loay hoay tìm hiểu khái niệm này, chỉ cần đợi cho đến khi chúng tôi bắt đầu ghi phần và bắt đầu viết một số ví dụ.
Then you come back to this video and watch it.,Sau đó, bạn quay lại video này và xem nó.
It will make more sense then.,Nó sẽ có ý nghĩa hơn sau đó.
So whatever we have seen until now is just a contract meaning they are just interfaces and just method declarations that are part of the reactive stream specification.,Vì vậy, bất cứ điều gì chúng ta đã thấy cho đến bây giờ chỉ là một hợp đồng có nghĩa là chúng chỉ là giao diện và chỉ là các khai báo phương thức là một phần của đặc tả luồng phản ứng.
We did not see the implementation of these interfaces.,Chúng tôi không thấy việc triển khai các giao diện này.
So in the next video we will talk about the reactive libraries which are the implementation of these four interfaces.,Vì vậy, trong video tiếp theo, chúng tôi sẽ nói về các thư viện phản ứng là việc triển khai bốn giao diện này.
Before we wind up I would like to show you where to find this reactive stream specification in the Internet.,Trước khi kết thúc, tôi muốn chỉ cho bạn nơi tìm thông số kỹ thuật luồng phản ứng này trên Internet.
Let's go to Google and then in here I'm gonna search for reactor stream specification and then I'm gonna look on does it get to blink when I open it and the new top so does get up is the base for this reactor stream specification if you go a little bit down and read me.,Hãy truy cập Google và sau đó tại đây tôi sẽ tìm kiếm thông số kỹ thuật của dòng lò phản ứng và sau đó tôi sẽ xem nó có nhấp nháy không khi tôi mở nó và phần trên cùng mới xuất hiện là cơ sở cho thông số kỹ thuật của dòng lò phản ứng này nếu bạn đi xuống một chút và đọc tôi.
There you go you see the reactor's stream specification consists of the following parts.,Ở đó, bạn sẽ thấy đặc điểm kỹ thuật dòng của lò phản ứng bao gồm các phần sau.
One is the FBI the EPA is the one which we discussed just no.,Một là FBI, EPA là một trong những mà chúng tôi đã thảo luận về không.
Those are the four interfaces and the next one is their technology compatibility kit.,Đó là bốn giao diện và giao diện tiếp theo là bộ công nghệ tương thích của chúng.
Basically this is for the reactor library creators.,Về cơ bản, điều này dành cho những người tạo thư viện lò phản ứng.
The system makes sure the library whatever that you are writing is going to make sure it is going to follow all the rules that are part of the reactor stream specification.,Hệ thống đảm bảo thư viện bất cứ điều gì bạn đang viết sẽ đảm bảo rằng nó sẽ tuân theo tất cả các quy tắc là một phần của đặc tả dòng lò phản ứng.
But this became for the end of the story.,Nhưng điều này đã trở thành phần cuối của câu chuyện.
Thank you for watching.,Cảm ơn vì đã xem.
