184,President,Chủ tịch
185,Wonderful,Tuyệt vời
186,Part,Phần
187,Serveral,Một vài
188,Certain conditions,Điều kiện cụ thể
189,Performance,Buổi trình diễn
190,Fair,Hội chợ
191,Accident,Tai nạn
192,Leave,Rời khỏi, sự cho phép
193,Right,Quyền
194,Creative,Sáng tạo
195,Become,Trở nên
196,Hire,Thuê, tuyển
197,Identify,Nhận dạng
198,Competitor,Đối thủ
199,Suggestion,Sự gợi ý
200,Prevent,Ngăn chặn
201,Material,Vật liệu, tài liệu
202,Long-term,Dài hạn
203,Center,Trung tâm
204,Economic trend,Xu hướng kinh tế
205,Widen,Mở rộng
206,Regularly,Thường xuyên
207,Participant,Người tham dự
208,Scholarship,Học bổng
209,Advisor,Nhân viên tư vấn
210,Upgrade,Nâng cấp
211,Impossible,Không thể
212,Lost item,Đồ mất
213,Convenience,Sự thuận tiện
214,Receipt,Hóa đơn
215,Personnel office,Phoòng ns
216,Blueprint,Bản thiết kế
217,Employ,Thuê
218,Substantially,1 cách đáng kể
219,Variety,Sự đa dạng
220,Notice,Thông báo
221,Economic slump,Khủng hoảng kinh tế
222,Graduate,Tốt nghiệp
223,Admission,Vé vào cổng
224,Effort,Nỗ lực
225,Meet,Đáp ứng
226,Resignation,Sự từ chức
227,Interest rate,Lãi suất
228,Equipment,Trang thiết bị
229,Package,Gói hàng
230,Reject,Từ chối
231,Compete,Cạnh tranh
232,Notification,Sự thông báo
233,Expand,Mở rộng
234,Formal,Trang trọng
235,Advice,Lời khuyên
236,Attendee,Người tham dự
237,Discuss,Thảo luận
238,Seek,Tìm kiếm
239,Comprehensive,Toàn diện
240,Official,Chính thức
241,Complaint,Lời phàn nàn
242,Anniversary,Lễ kỷ niệm
243,Guideline,Hướng dẫn
244,Agreement,Sự đồng ý, hợp đồng
245,Defective,Lỗi
246,Applicant,Người nộp đơn
247,Popular,Phổ biến
248,Accept,Chấp nhận
249,Pay,Thanh toán
250,Candidate,Ứng cử viên
251,Promote,Thúc đẩy, quảng cáo
252,Message,Tin nhắn, tín hiệu
253,Committee,Ủy ban
254,Seminar,Hội thảo
255,Tourist,Khách du lịch
256,Deposit,Đặt cọc
257,Consult,Tư vấn
258,Consider,Cân nhắc
259,Detail,Chi tiết
260,Conference,Hội nghị
261,Requirement,Sự yêu cầu
262,Production,Việc sản xuất
263,Prior to,Trước (=before)
264,Choose,Chọn
265,Law,Luật
266,Produce,Sản xuất
267,Figure,Con số, số liệu
268,Citizen,Công dân
269,Constructive,Mang tính xd
270,Feedback,Phải hồi
271,Digital,Kỹ thuật số
272,Consistently,Trước sau như 1, nhất quán
273,Recover,Hồi phục
274,Deliver,Phân phát
275,Intense,Dữ dội
276,Safety,Sự anh toàn
